brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
58063.0,for_sale,80000.0,3.0,2.0,,107344.0,Pittsburg,Texas,75686.0,1192.0,2022-04-30
52664.0,for_sale,410000.0,3.0,3.0,0.22,381281.0,Miami,Florida,33167.0,1576.0,
36027.0,sold,70000.0,2.0,1.0,0.04,1819557.0,San Jacinto,California,92583.0,650.0,2022-03-03
47485.0,for_sale,2950000.0,9.0,11.0,0.61,1439028.0,Highland,Utah,84003.0,14340.0,2011-05-23
110078.0,for_sale,224900.0,3.0,2.0,0.38,978109.0,Little Rock,Arkansas,72205.0,1693.0,
16829.0,sold,1349000.0,5.0,,0.18,1135390.0,Fremont,California,94538.0,2317.0,2022-04-15
51376.0,ready_to_build,754950.0,3.0,,,873293.0,Auburn,Washington,98001.0,1867.0,
409.0,for_sale,65000.0,3.0,1.0,0.1,1426350.0,Detroit,Michigan,48213.0,1070.0,
109978.0,sold,600000.0,2.0,1.0,0.08,328402.0,Sylmar,California,91342.0,1065.0,2022-01-10
88115.0,for_sale,479000.0,3.0,3.0,,444129.0,Park Ridge,Illinois,60068.0,2073.0,2002-08-22
91854.0,for_sale,229900.0,2.0,1.0,0.24,66678.0,Shelbyville,Tennessee,37160.0,1056.0,
79010.0,for_sale,216000.0,4.0,3.0,0.21,1328366.0,Shenandoah,Virginia,22849.0,1910.0,2022-05-13
90218.0,for_sale,989000.0,3.0,2.0,0.13,982395.0,Ventura,California,93003.0,1909.0,2021-11-24
88771.0,sold,315000.0,4.0,2.0,0.16,930664.0,Dallas,Texas,75216.0,1746.0,2022-03-09
32595.0,sold,869900.0,3.0,3.0,0.01,1291160.0,San Jose,California,95136.0,1452.0,2021-12-07
29523.0,for_sale,850000.0,3.0,3.0,0.38,380461.0,Eugene,Oregon,97402.0,2750.0,2005-10-27
36503.0,sold,45000.0,2.0,2.0,,1240796.0,Kissimmee,Florida,34746.0,1320.0,2022-03-09
15345.0,for_sale,299900.0,3.0,3.0,0.2,668932.0,Lake Mills,Wisconsin,53551.0,1600.0,2017-06-15
